genre,duration,cast_popularity,director_experience,budget_million_usd,language,release_season,marketing_million_usd,sequel,rating
Thriller,136,5.4866650872737255,18,47.223372918136945,English,Off-Season,6.274293916100884,0,2.8876687032252097
Action,141,2.5537178204362045,7,8.706565635034877,English,Festive,11.326339152799319,0,2.2125281295918184
Comedy,116,5.089531228134505,14,226.70755839726047,Spanish,Off-Season,18.519905901966432,0,2.864272366467282
Action,101,4.969634802858567,5,205.79311825946291,Korean,Festive,17.787836197699153,0,3.8155192440050016
Action,120,8.285463391036298,2,110.63538555470684,French,Festive,17.902148943844686,1,5.337814070562663
Fantasy,152,9.291730180143194,10,25.20342054051028,English,Off-Season,13.672768315084646,0,4.906696607959571
Sci-Fi,91,9.615578624657463,32,135.39739364159075,Korean,Off-Season,47.05656885732439,0,6.569667574088139
Romance,116,5.383382409701218,15,112.34791730797937,Korean,Summer,4.457929039000086,1,4.4683390907984615
Romance,90,8.658908204473866,22,166.74747169434113,Spanish,Off-Season,27.3849235365637,0,5.037713753709123
Romance,126,6.581828372360184,10,72.77649782624013,English,Festive,19.91937911150184,0,3.9986614592318115
Drama,140,1.9153914533828598,21,90.38079489635844,French,Off-Season,39.21471292175891,0,2.414317206175186
Comedy,102,1.6557726656696745,21,163.6283037255164,Hindi,Festive,24.634966983481124,0,2.7246889413958866
Thriller,117,6.445794114829485,5,184.42914217944892,Hindi,Summer,33.84785583113223,1,4.858627120981828
Action,148,7.134943799272122,10,59.22558358780282,Hindi,Summer,36.14066005227263,0,3.7483115151290485
Sci-Fi,123,6.864732043206136,15,102.17301891517172,Spanish,Off-Season,8.211857981528276,0,3.811340183601496
Romance,102,5.355267122271707,21,194.16428272624773,Korean,Off-Season,46.531675620358605,1,5.2835323597355375
Action,101,6.334078468581881,10,156.22229016410424,English,Winter,33.93612469226039,0,4.51967948102198
Sci-Fi,88,6.967791370168668,9,41.74237559579564,Hindi,Winter,15.271027639271153,0,4.579685126054088
Romance,138,7.331728436532234,25,88.05805557155334,English,Summer,10.694170002805786,1,4.183392443540716
Thriller,111,2.295592976412746,32,172.91331271078744,Korean,Winter,13.986642031984513,0,2.8439388068746356
Comedy,143,5.284326932238906,24,15.994855716052474,English,Winter,19.455688291832075,0,3.9869185113601997
Thriller,140,3.980036583864672,26,233.04177136715177,French,Winter,46.531087408768876,0,4.710894861220986
Thriller,113,5.351814393823954,32,189.32087591264153,Korean,Festive,15.673622910109431,0,3.698478521907502
Thriller,115,4.540685248286644,33,85.7865284980997,French,Summer,46.587081875858466,0,3.090140219074478
Comedy,139,1.655931384895301,8,26.19217107694768,French,Summer,23.404012246847223,0,1.9137300454997068
Thriller,127,8.109572335313167,18,207.92129204788304,Spanish,Festive,28.290661611488062,1,5.074819262931605
Thriller,129,5.697695617146583,1,28.178271439042398,French,Summer,8.526016697935784,0,4.321752734784013
Romance,95,8.87199745111121,5,151.97426573807388,Spanish,Off-Season,48.03840328534748,0,5.352017795408191
Thriller,141,1.388613597087231,31,200.3997094222531,Spanish,Festive,3.0376595388321173,0,2.580879422699729
Comedy,109,1.867714889897643,13,18.49326955836744,Korean,Summer,35.99542897604827,1,2.9305142717350336
Thriller,84,2.134877357499754,1,212.02764015110162,Hindi,Festive,37.17693550259453,0,2.84658062704134
Fantasy,113,8.831506963381688,10,8.009864266662522,Hindi,Winter,9.251323978518299,0,4.068004698812764
Comedy,132,5.561240664780506,33,243.10201655591896,English,Festive,46.610704635822955,0,5.9005454777902075
Sci-Fi,162,7.755226387827007,21,128.4648752583858,French,Winter,24.541902424628134,0,4.35218279393181
Comedy,118,1.6947834907321186,19,152.94814002729544,French,Summer,3.386323005956416,1,2.298972717888904
Sci-Fi,101,7.715431376342466,29,215.84511206973625,Hindi,Winter,13.45185079934707,1,5.132616738176217
Comedy,163,1.6976966744524362,9,246.73492330124267,French,Summer,49.249303032720036,0,2.7158965182537083
Drama,127,9.19312721504074,9,45.82097945314042,Korean,Festive,9.993700157856203,0,4.711189486552582
Thriller,120,5.609382335010097,5,22.09814756380489,French,Festive,2.0894117683965363,1,3.3685485676089457
Drama,105,9.634477466129374,20,220.91579776680925,French,Summer,21.740565448540924,1,5.858520003507354
Drama,106,6.715741315829207,3,67.22671735650853,Spanish,Off-Season,47.65961486162057,0,3.770436132081027
Sci-Fi,151,6.41467174858869,25,127.02895624301588,English,Winter,12.313823426024403,0,4.491890660667583
Thriller,120,2.500549184884947,5,200.90014814017357,French,Summer,48.96289199832294,1,3.0408222762119745
Thriller,115,6.6887543406928796,13,204.83903990673753,Spanish,Summer,43.83937069732079,1,5.178279772605304
Drama,115,7.785341492871709,10,138.42430277869784,French,Festive,43.172223437889905,0,5.195716956566746
Action,153,6.493400656295619,5,248.2176830997449,Korean,Festive,29.674596326238014,0,4.860747474231259
Romance,114,7.203483935520822,27,236.16654992975353,Spanish,Off-Season,14.732394238987812,1,4.779753461821651
Sci-Fi,136,8.957440644604246,13,59.37847725645717,Korean,Winter,30.258148305787902,0,5.161314427835517
Thriller,129,7.270403231162533,23,223.8357567872993,French,Off-Season,44.39105972352315,0,4.465263272180623
Comedy,129,6.783832311320872,26,139.78448214179886,French,Festive,18.475348730848733,0,4.323198183490943
Comedy,109,5.747804311975001,8,49.23285110798551,Korean,Summer,20.772960913951795,0,3.5674934242995557
Romance,136,5.098417905776727,23,103.35313350720155,French,Winter,18.985084490852813,1,3.7510470943747496
Thriller,153,7.414900286433672,28,89.94018926696741,English,Off-Season,4.200891639173795,1,5.183830322780267
Fantasy,124,8.452474848341177,16,216.29773744013667,French,Winter,39.109461129976836,1,5.000650835208184
Fantasy,108,7.5561731592421335,26,222.8978792610641,Korean,Summer,8.63109698348172,1,5.955650111619951
Romance,101,1.901326655483361,25,63.93995988243142,Korean,Summer,24.430119634384564,0,2.223713627825686
Romance,128,3.306722585298792,21,94.42764647784654,English,Off-Season,37.131140903106896,0,3.5094242260460455
Sci-Fi,120,6.524240555050914,20,11.803960466067181,French,Winter,37.5091691065887,1,3.4432341287233506
Romance,123,6.106006102592676,9,12.478062310188676,English,Winter,43.75484771299438,0,4.3053078393993385
Thriller,125,9.258199274715876,14,79.90223703227988,English,Off-Season,34.6427913839934,1,5.4057554354477
Thriller,98,9.850099065186086,6,34.332800522288494,English,Summer,42.167264876485326,0,5.912763946185452
Action,139,9.062391992500988,31,217.77738575375275,English,Winter,6.8954165895533945,0,5.7864860960588045
Romance,129,6.452394048898259,24,247.5321001466223,English,Summer,17.255714390123646,0,4.7583994471133035
Thriller,123,7.474832158323432,5,82.83079699349433,English,Summer,7.891708858550454,0,3.352856482851338
Action,129,8.638275531263453,3,19.135192968636204,English,Off-Season,16.24381180091708,1,3.7822490792116894
Drama,141,2.3166610359665802,20,59.69865005416185,Spanish,Off-Season,2.1243777838608056,0,2.745936548805843
Drama,125,3.815112965309671,18,171.69355429942277,Hindi,Winter,17.211893062081487,1,4.557963008734865
Fantasy,109,1.225209516424491,19,89.36017614754591,Spanish,Off-Season,40.247082012401215,0,3.5179223546880056
Thriller,145,6.615969357125406,11,162.77593856805777,French,Festive,30.014903153456718,0,5.522368854830535
Sci-Fi,117,9.273930332797173,13,91.38500175040666,Hindi,Festive,11.070186337718638,0,5.10529008824032
Drama,111,1.0429009345310707,34,92.23853954045036,Spanish,Festive,32.50611910619752,0,3.127686278147606
Thriller,96,2.13647341137373,12,65.02245004889068,Hindi,Summer,32.663807430937595,1,2.12832141205172
Sci-Fi,125,2.8009157331372525,21,214.2932482620177,Korean,Winter,25.77121039883946,0,2.968752447992196
Romance,106,8.013306339581764,20,84.77964985534732,Korean,Festive,28.02934190035089,0,3.0332061892535855
Romance,115,4.3294467840220605,20,21.293054326666606,Hindi,Off-Season,1.6336350861462305,1,3.5237279463042315
Sci-Fi,133,2.782395950991201,20,171.18779984541553,Korean,Off-Season,34.824907950225324,0,4.749175958713559
Action,125,4.351400427059393,31,167.45135671190314,French,Summer,45.6967918201064,0,3.586932763532054
Fantasy,143,3.30669502048562,3,76.87030104930882,Spanish,Winter,20.527205193379203,0,2.2858083144724306
Fantasy,130,3.25418356122692,23,220.80774788540938,Spanish,Off-Season,32.08324474320308,1,2.7720765876176605
Sci-Fi,117,6.092565101371997,17,15.470595425831602,French,Winter,48.59429606877956,0,4.8820586294616435
Fantasy,119,7.033594227230262,7,244.687268957361,Spanish,Off-Season,42.42948682999971,0,5.321393704305981
Sci-Fi,115,3.244259869703283,20,134.68039189192206,Korean,Winter,8.279211361265492,0,3.364619078378481
Romance,136,5.949138360444327,32,21.448232880352915,Hindi,Summer,6.139274447850935,1,4.5827895965121614
Thriller,125,1.2680628964721816,18,86.84074039279136,Spanish,Winter,10.435077711318378,0,2.415324188821672
Comedy,117,9.751677222977944,14,170.72655641246203,Spanish,Summer,37.495296450708615,0,6.363535034861019
Drama,140,1.9225182819042868,18,226.18950964094066,French,Festive,46.38821028579381,0,2.890827536250371
Sci-Fi,126,6.030217367962842,32,141.93384433203815,Spanish,Winter,18.02264760431234,0,4.09502981797906
Romance,116,9.973346514235653,12,214.28089572933774,Hindi,Summer,29.33400331079919,0,6.534912887453151
Romance,97,3.8965990298379545,8,157.63488923888755,French,Winter,21.876996580068933,1,3.5239430516454493
Comedy,132,3.584128907320276,16,71.16215968466851,French,Summer,47.57045147852878,0,4.226156685257525
Comedy,129,7.645113402886574,30,8.904212592575014,Hindi,Summer,30.772564689799538,0,4.674235920885605
Sci-Fi,125,5.19150654593489,16,149.9712820634786,French,Off-Season,25.84618246997601,0,4.058661556160622
Drama,117,3.3991325758547672,18,125.08491170316216,French,Festive,13.818682891878582,0,2.105961186736131
Action,109,6.155766709619562,5,118.8682260860667,English,Festive,35.91601154633346,1,4.220578828532241
Romance,120,8.443737530267185,32,20.821884210552412,Korean,Winter,34.86531605854469,0,4.296245542944127
Fantasy,129,7.02245007624123,15,154.40314812402107,French,Off-Season,1.3766518931563785,0,4.3186318188196555
Fantasy,122,3.1608138949729456,22,229.42247784518133,Hindi,Summer,29.751997424468914,0,2.9938076419027944
Drama,122,7.010298731297993,12,170.1657215611838,Spanish,Off-Season,41.688546366506735,0,5.19392016078837
Romance,116,9.36893284166801,1,29.56580400961956,English,Winter,39.9425629006649,0,4.6724897166160435
Fantasy,131,2.7742332585909475,8,125.17487623323984,French,Winter,14.183248331766002,1,3.5137317856655232
Action,129,6.865963995078735,21,200.49960711281508,English,Off-Season,48.62870268193221,0,4.221187524780244
Drama,111,5.496218259727992,22,214.26581509715783,French,Festive,24.493253256126227,0,4.788990228902909
Thriller,138,6.970134627767852,14,79.23486621795524,English,Winter,35.41366192674974,1,5.402956751092325
Drama,139,2.2395011685988653,9,121.07435532877159,English,Festive,34.37744760779502,1,4.127175521793438
Fantasy,139,3.09562758497117,20,165.5484883006591,Korean,Summer,18.142266934294316,0,3.580628620864595
Romance,122,4.128584656711157,16,67.56618643580074,Hindi,Summer,15.745933038956483,1,2.9206428598186407
Comedy,121,8.556424474079712,18,18.354664799610696,Spanish,Off-Season,48.60415451729497,0,4.3410074624441
Sci-Fi,104,4.458974930680594,18,210.4099371986971,Hindi,Off-Season,39.088616198254215,1,4.493026991225644
Fantasy,138,4.0368373464290634,24,74.94458566304112,Korean,Winter,21.873683204779482,0,3.506952083431768
Drama,86,7.6745655951871115,22,119.67292620423711,French,Off-Season,14.997473046689718,0,4.636120224751299
Comedy,117,2.248537221072062,6,148.09863211431323,English,Off-Season,46.22128269128807,1,3.5444329143919338
Sci-Fi,118,3.87989836113892,1,7.942173099024441,Korean,Summer,21.37559201249095,0,2.739116045571058
Comedy,140,5.957355539570427,13,244.92846617356003,Hindi,Winter,4.489315980308513,0,3.34297954297121
Fantasy,124,4.1173176694818405,4,53.55451262539301,English,Winter,29.135565736037865,0,2.9662615062510476
Romance,107,6.381359801059987,30,186.69807524859692,Korean,Festive,34.66678680507983,1,5.1092245532262694
Comedy,99,6.413585757913204,23,215.67334376284563,Hindi,Festive,11.783869942087868,0,3.4671022020403015
Action,111,2.2716861840650457,13,35.36386698049387,Korean,Off-Season,4.153812787237207,1,1.7791707192081252
Romance,126,2.200820522949441,15,170.1725716950791,Korean,Winter,3.703810083065221,1,2.389771025003601
Fantasy,125,8.058476010429208,26,108.54300142726173,Spanish,Off-Season,43.717797170809504,0,3.641006367765653
Sci-Fi,121,4.756285491599537,1,76.90076342840595,French,Off-Season,28.713882467479227,0,2.5792552201159435
Comedy,112,2.342298816401037,11,95.28652189091794,Korean,Festive,7.490627753479432,0,2.7538757310505595
Sci-Fi,121,1.687665658790006,9,155.93433582870182,French,Summer,29.07910138524813,0,3.5846938266294575
Romance,142,4.770203015396195,4,188.29159950332013,English,Off-Season,32.639879054152146,0,3.972752982445153
Thriller,105,8.579239306979474,19,234.75547975664568,Hindi,Winter,46.36757522542616,0,5.073964035964225
Romance,125,2.8460308991079466,5,78.44376395378801,Korean,Festive,14.54022844548008,0,2.935114153629015
Comedy,154,9.955226132902741,30,155.70508950481025,Korean,Summer,46.60557709027392,1,6.83558331199593
Thriller,134,1.1878296391978682,2,132.295638135447,Korean,Summer,45.09049971386838,0,3.0105345513866437
Fantasy,116,6.341879908245267,1,48.882406657004566,Korean,Summer,26.484646873673753,0,3.724575014281914
Action,136,7.292124001237441,12,96.78589790620408,English,Off-Season,48.946346749502275,1,4.514779724290787
Comedy,111,5.7904529206459685,19,31.597816421321834,English,Festive,19.722909620702712,1,3.256427543064781
Sci-Fi,125,3.3324925706397948,2,135.0230782395476,English,Summer,19.05862974083127,1,3.631857398280809
Sci-Fi,152,3.848024056967166,30,41.703422929787116,English,Summer,23.169723943912757,1,3.215097143499831
Fantasy,159,5.984832725099911,6,75.8004234718436,French,Summer,31.212045203269792,1,4.593160740443121
Thriller,94,9.058118761293132,7,156.07893280002745,French,Winter,7.22133639154725,0,5.838720992026804
Romance,137,4.77760786978096,15,24.768623663835612,French,Off-Season,41.29159720512095,0,3.706958881873633
Action,160,4.103492499070741,15,16.802836220592518,French,Off-Season,33.18649201300775,1,2.5903242185198905
Thriller,115,4.6033826910402045,34,189.41236693144336,English,Off-Season,15.10643649482847,0,3.9924417244788604
Comedy,129,9.99396500563078,12,219.93052130395688,English,Summer,10.751282148678659,0,6.182736147122562
Romance,152,3.398362133455541,19,100.99505115639576,Korean,Winter,18.241317267211187,0,2.7853084182465926
Romance,116,2.5424123405513006,12,136.16178898561827,French,Summer,33.222883800875785,0,3.541722758937568
Sci-Fi,133,9.035800074947803,17,69.86608997912528,Spanish,Festive,38.044156230775926,0,5.519060640674105
Romance,123,2.1292127801158953,7,169.38083818094572,French,Summer,30.23839363001439,0,3.9042760941347026
Sci-Fi,90,8.554930787889909,18,30.205147893777912,Hindi,Summer,11.714019283357075,0,4.6299405799229225
Drama,131,6.627294136290493,8,69.51186328384519,English,Summer,30.830986812258306,0,4.435536626428469
Comedy,121,9.621663177344374,9,78.38373372017803,French,Winter,6.7276699694310205,0,5.075232271071381
Fantasy,141,3.8599772707937423,15,70.05769037889625,Hindi,Festive,42.920690625273934,0,3.967384274244574
Thriller,162,8.700936529767613,24,226.78852336122904,Spanish,Festive,11.212469841172483,0,5.561619675183054
Thriller,137,1.7874248633690533,21,228.77662253840396,English,Winter,10.32067344182319,1,1.9051901581650539
Drama,118,8.041064587049885,1,145.23773158228886,Hindi,Winter,35.06017822764996,1,5.416178456263911
Romance,133,3.9445477788841026,4,23.76139868124989,Hindi,Summer,40.45682485476093,0,3.7511176923300695
Action,128,5.145204386871384,17,80.85571393804277,Hindi,Winter,26.025517501291755,0,3.4419578243351356
Sci-Fi,143,8.17352587527002,14,222.40341489891634,Korean,Off-Season,40.31378988128975,0,4.53835184975942
Thriller,99,6.714126760024136,4,142.85780489719542,French,Summer,6.542600560745391,0,4.286029799385876
Sci-Fi,104,5.124208838498659,5,232.75714654969988,French,Summer,34.801669644884306,0,4.9221038758235425
Action,88,3.633405048288811,29,83.540605477707,French,Summer,25.853560688555174,1,4.302648562151775
Sci-Fi,135,7.798814724222046,25,163.01761198046842,English,Summer,47.767601874109616,0,5.8609479401418545
Comedy,124,5.192434810987594,22,48.3891841997604,Korean,Off-Season,16.947179946467053,0,3.7553922517641616
Sci-Fi,113,3.201831877628811,6,220.30900231463272,Hindi,Festive,33.020365284287855,1,3.4034221619053038
Action,111,4.528911903976882,26,241.9218986855358,English,Off-Season,30.981993267665292,0,3.7874981103690297
Romance,114,8.16362122495123,8,161.6476075757696,French,Winter,36.88215616393019,0,5.100679025458955
Thriller,108,1.5276147761274308,28,141.22669960696354,Korean,Winter,45.858643273358254,1,3.0070107211237636
Fantasy,119,3.9001421605771007,16,232.28767591241075,Korean,Summer,4.469049051728672,1,3.827663466149713
Sci-Fi,116,7.546517192884508,30,63.031136302868354,Hindi,Off-Season,45.72442732569382,0,4.2699837201311555
Comedy,150,6.513997298434556,34,219.94482293632817,French,Off-Season,39.66832972608349,1,4.972724213631802
Drama,130,4.955223291024648,25,23.300220981644024,Spanish,Off-Season,28.103241738893622,0,4.532505220130936
Action,110,2.401447766276078,21,97.7327815481618,Hindi,Off-Season,17.29290799563384,1,2.9613826354694006
Drama,114,1.4283526046893686,22,175.38472628614502,Hindi,Summer,13.97564996296084,1,3.075719619769488
Action,146,4.60964070386225,26,194.2631740344169,English,Summer,28.901258174584772,0,4.2612073995247925
Fantasy,133,7.194683017075416,25,97.43198831645003,Hindi,Summer,49.0225166010364,0,5.900589267385809
Drama,130,3.410776672163152,29,199.9567168326287,Spanish,Festive,2.763727704805368,1,4.220724728958552
Comedy,137,9.118528031568776,1,155.4124500005569,Hindi,Festive,12.845361339000522,0,5.168120830601676
Comedy,153,6.575547959007382,13,124.92561984574701,English,Festive,18.364111014745056,0,4.302344698597589
Sci-Fi,103,5.0971570399335135,2,83.08285725743504,Korean,Festive,39.552531037707695,0,5.062671488536069
Sci-Fi,111,7.792366424557307,33,158.07531847742192,English,Off-Season,29.978869126680294,1,5.117757394315672
Thriller,93,3.6970856609145155,22,247.90088807321544,Hindi,Summer,38.42400487221723,0,2.834124491596688
Comedy,133,9.045661731816015,11,188.52124558236872,Korean,Winter,9.098200681898193,0,5.4693771679044065
Fantasy,118,4.307392835611803,30,24.766507081090996,French,Festive,39.06165907205733,1,3.919985368976025
Action,112,1.047418267874403,19,42.999755111928344,Korean,Summer,46.843315178472295,0,2.5979621963866304
Action,111,9.80693322344896,34,239.94294781034006,French,Off-Season,17.680977324853348,0,7.054987176102214
Comedy,137,5.464741729657313,9,73.8093687992447,French,Off-Season,7.082608210979169,1,3.4129581712394916
Comedy,122,9.132334021268292,15,242.2382607692341,Korean,Festive,2.5706786570606113,1,5.291922770471143
Fantasy,115,1.981290454683092,2,57.93363970518672,Spanish,Summer,46.02754629300045,0,3.410364169987565
Comedy,147,2.799149582755533,20,58.209857550385074,Korean,Winter,6.573686739440821,1,1.5586372527243915
Sci-Fi,106,5.353467482945692,26,243.15975817634998,Korean,Summer,47.098394444253564,0,4.848602885622948
Thriller,102,9.0587444597703,13,169.9272047885745,English,Festive,18.818958976236782,0,5.029889178986613
Drama,171,1.8282621280111857,13,225.11766814672558,English,Off-Season,28.147328324758377,1,3.9458800403335808
Action,118,5.846398665810572,31,237.14617138814705,Korean,Off-Season,12.408482266655241,1,3.7429691949708683
Sci-Fi,115,7.822991919500681,9,21.614308665206483,Hindi,Winter,34.61533499338107,0,3.8993621200417885
Drama,111,4.51369451783681,5,53.60653164449773,Hindi,Off-Season,38.26470803590352,1,4.059225588728169
Drama,122,5.007900193157021,15,39.41552902176418,French,Off-Season,35.96190005351315,0,4.05198819981522
Fantasy,139,9.403701009752318,17,77.6915082598951,Hindi,Summer,35.75901524237712,0,5.183524902067333
Romance,138,5.8333060546569335,32,49.617851012308826,Korean,Off-Season,16.790375767927245,1,3.9393066273752333
Drama,134,7.210185956396613,21,67.89633784796236,Hindi,Off-Season,41.55293360444897,0,4.996721139521945
Thriller,119,7.056666867141002,15,87.32636134666357,Spanish,Summer,30.448170621811176,0,4.66951068198889
Romance,98,9.075247222468118,30,41.953491596091474,French,Festive,42.53992767870478,0,5.544987216431796
Action,130,4.073134035716833,31,87.84580497548852,Spanish,Summer,47.449420994613945,0,3.4965032509355094
Comedy,152,5.924594500610608,18,198.809178270164,Korean,Off-Season,31.403538065212555,0,4.027056507183914
Romance,144,2.922375723079081,33,175.7013689135833,French,Festive,3.8074712606186387,0,3.112524132072174
Comedy,121,3.9952567587737766,26,23.946913154558807,French,Festive,9.238536722602419,1,3.205949932104984
Romance,139,8.396653111590263,31,73.39122718402237,Spanish,Off-Season,49.6645263701245,0,4.445066126148822
Fantasy,118,9.673485987228101,27,97.01750972197254,English,Winter,20.70170183915965,0,5.451222870405126
Thriller,124,3.9513452109680944,8,234.8498939426773,Hindi,Winter,39.80015361119925,0,4.170257726610404
Fantasy,102,7.855338030156879,11,121.25796657201663,Korean,Winter,14.15858550620149,0,4.412915707897498
Drama,119,5.838589019217751,32,132.06655402460706,Korean,Winter,9.922051520990614,0,3.989135680877648
Romance,127,7.233319863464293,10,58.29651714526256,Spanish,Winter,39.416990162826146,1,4.2589124829980936
Comedy,121,4.297472935584894,14,15.605252479080004,Korean,Festive,30.435920687724053,0,2.3334514190215945
Action,138,4.180483782007527,3,118.22979679299178,Hindi,Summer,3.6092249446805393,1,3.39146269181727
Drama,158,2.856145292047645,13,108.24790640986028,Korean,Winter,38.161032430279576,0,3.0903233700565353
Romance,148,5.5130694809941465,22,215.84177345229259,Hindi,Festive,42.31683199020832,0,3.9492848154736304
Action,119,1.502092400746009,19,179.2655204099559,Korean,Summer,8.492521787522147,0,3.1250521467263113
Action,111,8.742896527616,33,121.28307889832121,English,Winter,38.5258924934532,0,5.2597536526310344
Romance,113,3.196133213283643,13,13.130445499314277,Korean,Off-Season,29.146509453287674,0,3.2451899676518887
Comedy,107,6.7038106713151615,10,218.22967611236066,French,Summer,2.443150210085621,0,4.1639055214408005
Fantasy,125,5.55308233007581,10,59.51711029693658,Hindi,Festive,25.957080269280077,0,3.830480963859083
Action,132,4.126768967895915,14,118.26117538509547,English,Summer,21.246134314412146,0,3.282548877696337
Drama,128,9.494448173231255,22,135.41139776563443,Spanish,Festive,22.682961366035624,0,5.2719143095391505
Action,128,8.6406018671998,26,139.69209466804247,Spanish,Off-Season,34.92828174025608,1,5.985138104140375
Thriller,127,7.618210744368177,13,153.64201652406717,English,Winter,3.5036242120021286,0,5.0211823185104665
Sci-Fi,122,2.0651052113451978,7,217.38722029480468,French,Summer,7.986531785944411,0,2.2888310559673815
Sci-Fi,111,5.161200153827978,23,59.343295452583384,English,Summer,15.411463927168299,0,4.093211831018812
Action,156,6.859688783293772,32,242.9785870624605,Spanish,Off-Season,27.606327189289484,0,4.769034082536695
Comedy,143,1.8584488416570077,16,111.86087798615125,Korean,Winter,15.056680671711646,1,3.548366379241905
Thriller,108,7.262229757015243,28,214.84479615011418,Korean,Off-Season,28.793685740238114,0,4.39710471909835
Drama,108,8.347890766093634,22,179.32094269366263,Korean,Summer,45.57514288335508,0,5.7205954431141945
Action,114,9.542790469598216,26,169.5676633916049,Spanish,Off-Season,3.827932201171901,0,3.850835228767396
